Binomial_correct,WD,lnSM,LMA,Hmax,DS
Eugenia cupulata,0.67,7.749435104,160,14,EndoZoo
Eugenia dichroma,0.72771849,7.749435104,83.91741034,8.5,EndoZoo
Eugenia excelsa,0.726,7.749435104,83.91741034,20,EndoZoo
Eugenia flamingensis,0.744761513,7.749435104,83.91741034,32,EndoZoo
Eugenia flavescens,0.744761513,7.749435104,83.91741034,6,EndoZoo
Eugenia florida,0.699947168,5.258536497,62.53941738,9,EndoZoo
Eugenia itacarensis,0.744761513,7.749435104,83.91741034,22.5,EndoZoo
Eugenia itapemirimensis,0.726,7.749435104,83.91741034,18,EndoZoo
Eugenia ligustrina,0.938166667,7.749435104,79.6689257,11.49492898,EndoZoo
Eugenia longifolia,0.744761513,7.749435104,83.91741034,18.5,EndoZoo
Eugenia melanogyna,0.744761513,7.749435104,83.91741034,11.49492898,EndoZoo
Eugenia omissa,0.7234201,7.749435104,71.67022805,12,EndoZoo
Eugenia patens,0.744761513,7.749435104,83.91741034,15,EndoZoo
Eugenia patrisii,0.83025,6.253828812,42.00004199,15,EndoZoo
Eugenia pauciflora,0.744761513,7.749435104,83.91741034,11.49492898,EndoZoo
Eugenia platyphylla,0.726,7.749435104,83.91741034,16,EndoZoo
Eugenia plicatocostata,0.744761513,7.749435104,83.91741034,10,EndoZoo
Eugenia polystachya,0.744761513,7.749435104,159.8020516,15,EndoZoo
Eugenia prasina,0.687008362,8.160518247,87.48498223,6.625,EndoZoo
Eugenia pseudopsidium,0.8683775,7.749435104,83.91741034,11.49492898,EndoZoo
Eugenia ramiflora,0.744761513,7.749435104,83.91741034,11.49492898,EndoZoo
Eugenia schottiana,0.744761513,7.749435104,83.91741034,11.49492898,EndoZoo
Eugenia stictopetala,0.744761513,7.749435104,164.9973638,11.49492898,EndoZoo
Eugenia stipitata,0.744761513,7.749435104,83.91741034,6,EndoZoo
Eugenia subterminalis,0.750766667,7.749435104,84.6274808,11.49492898,EndoZoo
Euxylophora paraensis,0.656,-0.015166134,64.38320885,40,NonZoo
Exostyles amazonica,0.58412,6.725433722,42.50416691,19.25,EndoZoo
Exostyles venusta,0.58412,6.725433722,74.96824973,25,EndoZoo
Faramea crassifolia,0.669679013,5.6443764,50.42937704,9.866393894,EndoZoo
Faramea occidentalis,0.597566663,5.338998551,57.66698621,20,EndoZoo
Ferdinandusa elliptica,0.65,4.407797091,84.88031963,11,NonZoo
Ferdinandusa paraensis,0.716666667,5.935601177,84.88031963,11,NonZoo
Ficus christianii,0.44146944,2.051304154,76.0367195,20.39883562,EndoZoo
Ficus citrifolia,0.4,-0.287682072,28.97758337,35,EndoZoo
Ficus gomelleira,0.456663552,3.287157332,150.7553673,45,EndoZoo
Ficus guaranythica,0.44146944,2.051304154,76.0367195,20.39883562,EndoZoo
Ficus hirsuta,0.44146944,2.051304154,76.0367195,20.39883562,EndoZoo
Ficus insipida,0.38066767,0.998546374,89.10860609,40,EndoZoo
Ficus maxima,0.391207965,-1.46967597,72.42515335,35,EndoZoo
Ficus paraensis,0.44146944,0.811729896,89.9657022,20,EndoZoo
Fusaea longifolia,0.786,6.249743555,99.68688044,25,EndoZoo
Galipea congestiflora,0.652155761,3.442019376,59.2299536,9.277777777,SynZoo
Galipea trifoliata,0.6006997,3.442019376,63.35744002,11.33333333,SynZoo
Garcinia brasiliensis,0.782023226,6.98487063,91.86746008,13,EndoZoo
Garcinia macrophylla,0.743333333,7.709233558,125.4390367,20,EndoZoo
Garcinia madruno,0.712878366,7.626862724,94.24306022,16,EndoZoo
Geissospermum argenteum,0.768133228,4.509860006,70.09860621,25.5,EndoZoo
Geissospermum laeve,0.763666667,4.509860006,74.52716054,25,EndoZoo
Geissospermum sericeum,0.781093334,5.913503006,66.83174792,25,EndoZoo
Glycydendron amazonicum,0.682822416,7.744028303,49.46795449,25,EndoZoo
Goupia glabra,0.704739933,0.405465108,65.28048525,40,EndoZoo
Guapira hirsuta,0.5029256,4.812184355,74.13997629,20,EndoZoo
Guapira laxa,0.512255756,4.198686243,98.80000002,15.10602424,EndoZoo
Guapira nitida,0.425,4.812184355,88.99999993,25,EndoZoo
Guapira opposita,0.672613483,4.76969291,73.77032135,30,EndoZoo
Guapira venosa,0.533,4.198686243,119.3766085,25,EndoZoo
Guarea blanchetii,0.610105992,6.686855836,60.12661615,21.60686275,EndoZoo
Guarea carinata,0.61,6.432538083,68.03584904,20,EndoZoo
Guarea grandifolia,0.576815238,6.424619578,76.30275148,50,EndoZoo
Guarea guidonia,0.622557915,5.742307433,58.36547392,20,EndoZoo
Guarea kunthiana,0.64476815,6.86066472,77.60094283,32.5,EndoZoo
Guarea macrophylla,0.630376199,5.924112071,63.15325188,20,EndoZoo
Guarea pubescens,0.53044542,6.686855836,46.77049718,20,EndoZoo
Guarea septentrionalis,0.610105992,6.686855836,60.12661615,21.60686275,EndoZoo
Guarea silvatica,0.696569022,7.757307739,49.3924726,30,EndoZoo
Guatteria australis,0.543133121,4.190470243,96.9787939,26,EndoZoo
Guatteria blepharophylla,0.531499668,6.010294617,69.26646808,24,EndoZoo
Guatteria citriodora,0.531499668,4.507215513,70.76177516,18.35833333,EndoZoo
Guatteria oligocarpa,0.531499668,6.010294617,72.56954859,15,EndoZoo
Guatteria punctata,0.475219592,4.944020545,101.9505881,30,EndoZoo
Guatteria schomburgkiana,0.619,6.010294617,82.10764621,25,EndoZoo
Guatteria ucayalina,0.531499668,6.010294617,82.42755142,18.35833333,EndoZoo
Guatteria villosissima,0.69,6.010294617,72.56954859,8,EndoZoo
Guazuma ulmifolia,0.544962524,2.52446678,56.34135683,30,EndoZoo
Gustavia augusta,0.643333333,7.047017096,88.53040762,10,EndoZoo
Gustavia elliptica,0.669,8.309644742,65.70801789,18.33333333,EndoZoo
Gustavia hexapetala,0.690656241,5.599347457,57.97489349,25,EndoZoo
Gustavia longepetiolata,0.637610661,8.309644742,65.70801789,18.33333333,EndoZoo
Gymnanthes gaudichaudii,0.84899685,5.942799375,85.56545383,10.0584,NonZoo
Handroanthus chrysotrichus,0.99,2.376207233,60.71417382,22.5,NonZoo
Handroanthus impetiginosus,0.870209366,4.477599406,79.742727,37,NonZoo
Handroanthus obscurus,1.21,4.807363904,56.59801902,24.48823529,NonZoo
Handroanthus serratifolius,0.999206496,4.828313737,34.58022749,30,NonZoo
Harleyodendron unifoliolatum,1.13,8.740336743,56.59801902,17.5,EndoZoo
Heisteria acuminata,0.698485723,4.384707067,66.02150102,10.5,EndoZoo
Heisteria barbata,0.709811717,5.578375555,72.06327518,15.88541667,EndoZoo
Heisteria blanchetiana,0.709811717,5.578375555,72.06327518,15.88541667,EndoZoo
Heisteria citrifolia,0.709811717,5.578375555,72.06327518,6,EndoZoo
Heisteria ovata,0.57125,4.620607416,103.1,26,EndoZoo
Heisteria perianthomega,0.709811717,5.578375555,72.06327518,27.5,EndoZoo
Helianthostylis sprucei,0.6275,7.170119543,175.0999999,12,EndoZoo
Helicostylis pedunculata,0.675,5.183876199,94.62113647,25,EndoZoo
Helicostylis scabra,0.735,5.183876199,100.5003611,26.83333333,EndoZoo
Helicostylis tomentosa,0.636519785,4.842183212,42.68076776,30,EndoZoo
Henriettea succosa,0.6,3.80766199,52.27238358,22,EndoZoo
Hernandia guianensis,0.28,7.826706469,74.92005465,32.5,NonZoo
Hevea brasiliensis,0.479395834,8.196987927,82.03445451,43,SynZoo
Hevea guianensis,0.5528633,7.449885753,105.0041838,56,SynZoo
Hieronyma alchorneoides,0.628370102,2.474813794,42.50416691,50,EndoZoo
Himatanthus articulatus,0.516382676,4.779123493,76.01718263,30,NonZoo
Himatanthus attenuatus,0.48,4.304065093,78.88090876,16.35,NonZoo
Himatanthus bracteatus,0.53,4.163156232,90.00392621,25,NonZoo
Himatanthus phagedaenicus,0.69,3.506557897,151.4,22.5,NonZoo
Hirtella bahiensis,0.79437742,5.218406832,74.66867446,27,EndoZoo
Hirtella bicornis,0.885833333,5.218406832,75.68232343,25,EndoZoo
Hirtella eriandra,0.79437742,5.218406832,74.66867446,14.69170322,EndoZoo
Hirtella excelsa,0.79437742,4.880905428,47.16981131,14.69170322,EndoZoo
Hirtella glandulosa,0.91875,4.65646198,103.7455906,20,EndoZoo
Hirtella hebeclada,0.679390479,6.239926141,107.9249299,25,EndoZoo
Hirtella myrmecophila,0.79437742,5.218406832,74.66867446,14.69170322,EndoZoo
Hirtella obidensis,0.79437742,5.218406832,74.66867446,14.69170322,EndoZoo
Hirtella piresii,0.79437742,5.218406832,74.66867446,14.69170322,EndoZoo
Hirtella racemosa,0.790177243,4.63792775,77.12237199,5,EndoZoo
Homalium guianense,0.764644117,2.119263036,52.47661548,19.33333333,NonZoo
Homalolepis cedron,0.514945,9.409191231,89.59378744,26,EndoZoo
Hortia brasiliana,0.9088,4.028556822,97.7937629,20,NonZoo
Humiria balsamifera,0.796189583,5.035952102,139.6853866,25,EndoZoo
Humiriastrum excelsum,0.75,8.271292653,153.9622415,40,EndoZoo
Hydrochorea corymbosa,0.47,4.033050123,53.74752567,20,NonZoo
Hydrogaster trinervis,0.614416667,6.684611728,64.76986896,34,NonZoo
Hyeronima alchorneoides,0.609348104,2.612081075,60.96809253,50,EndoZoo
Hymenaea courbaril,0.775763372,8.260374313,71.45869675,34,SynZoo
Hymenaea intermedia,0.82,8.652532355,82.17758242,24.32142857,SynZoo
Hymenaea oblongifolia,0.735277778,7.703459048,55.57716892,30,SynZoo
Hymenaea parvifolia,0.87735,7.109223611,94.33098597,35,SynZoo
Hymenaea rubriflora,0.813612212,8.652532355,82.17758242,24.32142857,SynZoo
Hymenolobium excelsum,0.65,2.855032391,79.60000001,22.5,NonZoo
Hymenolobium flavum,0.687335,8.937875265,60.88647514,22.5,NonZoo
Hymenolobium modestum,0.670616479,4.701338468,60.88647514,22.5,NonZoo
Hymenolobium petraeum,0.7125,2.119263036,60.88647514,22.5,NonZoo
Hymenolobium sericeum,0.691220922,4.54072534,86.40000001,22.5,NonZoo
Ilex,0.585441902,6.401785193,85.18710912,14.1326087,EndoZoo
Ilex minutiflora,0.585441902,6.401785193,85.18710912,14.1326087,EndoZoo
Ilex petiolaris,0.49,6.401785193,85.18710912,14.1326087,EndoZoo
Ilex sapotifolia,0.585441902,6.401785193,85.18710912,14.1326087,EndoZoo
Inga alba,0.573461235,8.003028666,70.43693165,30,EndoZoo
Inga auristellae,0.565239818,5.278114659,64.95702484,25,EndoZoo
Inga blanchetiana,0.741,6.524616275,61.98762058,20,EndoZoo
Inga brachystachys,0.695,6.524616275,82.00081998,17.44145356,EndoZoo
Inga capitata,0.602821279,7.306775421,76.75491795,30,EndoZoo
Inga cayennensis,0.645669675,5.271031812,54.49904388,20,EndoZoo
Inga chartacea,0.51226814,4.787491743,95.94166744,17,EndoZoo
Inga cordatoalata,0.587263841,4.951079185,72.19882048,30,EndoZoo
Inga crassifolia,0.587263841,6.524616275,61.98762058,17.44145356,EndoZoo
Inga cylindrica,0.499444444,7.641724454,82.95674381,30,EndoZoo
Inga edulis,0.579287099,6.893834197,76.69792465,40,EndoZoo
Inga flagelliformis,0.536,6.524616275,61.98762058,30,EndoZoo
Inga gracilifolia,0.8,6.524616275,38.39140034,30,EndoZoo
Inga grandiflora,0.587263841,6.524616275,61.98762058,17.44145356,EndoZoo
Inga heterophylla,0.64,5.530750965,53.10642054,20,EndoZoo
Inga ingoides,0.5045,6.214608098,61.98762058,30,EndoZoo
Inga lateriflora,0.56229,6.524616275,107.5652892,17.44145356,EndoZoo
Inga laurina,0.679336716,6.677285371,66.37681455,23.33333333,EndoZoo
Inga laxiflora,0.587263841,6.524616275,61.98762058,17.44145356,EndoZoo
Inga macrophylla,0.61,6.524616275,50.63750033,25,EndoZoo
Inga marginata,0.5431275,6.314895482,69.61833371,30,EndoZoo
Inga microcalyx,0.6674575,6.524616275,82.48730288,17.44145356,EndoZoo
Inga nobilis,0.606597466,5.150860897,61.8586903,14,EndoZoo
Inga obidensis,0.587263841,6.524616275,83.67738418,17.44145356,EndoZoo
Inga paraensis,0.82,5.799765828,84.8975711,30,EndoZoo
Inga pilosula,0.587263841,6.524616275,50.63750033,20,EndoZoo
Inga punctata,0.516707562,5.628645768,68.17405375,24.1,EndoZoo
Inga rubiginosa,0.66229,6.524616275,80.66825771,18,EndoZoo
Inga stipularis,0.6125,6.524616275,80.83638713,15,EndoZoo
Inga striata,0.587833333,6.636766429,45.20795658,23,EndoZoo
Inga subnuda,0.602888908,6.524616275,120.5818243,16,EndoZoo
Inga thibaudiana,0.513473989,5.021775099,56.5239323,20,EndoZoo
Inga ulei,0.587263841,6.524616275,61.98762058,17.44145356,EndoZoo
Inga umbellifera,0.714847482,6.078004225,51.78791765,20,EndoZoo
Inga umbratica,0.7427007,5.934122293,66.05197123,20,EndoZoo
Inga velutina,0.595994912,5.447527146,52.4328859,20,EndoZoo
Inga vera,0.59,6.524616275,65.74798387,20,EndoZoo
Iryanthera hostmannii,0.59675,6.264477046,75.14399987,27.5,EndoZoo
Iryanthera juruensis,0.623177333,7.986334914,80.12100432,22,EndoZoo
Iryanthera lancifolia,0.50333,7.628363594,142.7829162,25,EndoZoo
Iryanthera paraensis,0.63626637,7.628363594,87.57334265,23.83333333,EndoZoo
Iryanthera sagotiana,0.5719975,7.628363594,91.63497748,23.83333333,EndoZoo
Isertia hypoleuca,0.5625,6.802394763,72.82555807,13,EndoZoo
Ixora arborea,0.745075254,4.043433896,77.53343812,7.015481481,EndoZoo
Ixora muelleri,0.69,4.043433896,131.5962626,10.71,EndoZoo
Jacaranda copaia,0.35707794,2.327159466,60.12934194,30,NonZoo
Jacaratia heptaphylla,0.265,3.774706504,25.18752111,20,EndoZoo
Jacaratia spinosa,0.325,3.912799865,32.58516248,40,EndoZoo
Joannesia heveoides,0.39,8.608760385,89.55129548,20,SynZoo
Kielmeyera elata,0.59108295,3.807095729,114.5831171,15,NonZoo
Lacistema aggregatum,0.526734304,3.191273358,48.93787561,12,EndoZoo
Lacistema polystachyum,0.511081921,3.160107292,63.29107488,13.525,EndoZoo
Lacistema pubescens,0.4766032,3.160107292,99.66105362,15,EndoZoo
Lacistema robustum,0.511081921,3.160107292,63.29107488,10,EndoZoo
Lacmellea aculeata,0.53,5.668213633,84.00043681,20,EndoZoo
Lacmellea bahiensis,0.516869356,5.668213633,48.83270662,21.85666667,EndoZoo
Lacmellea gracilis,0.516869356,5.668213633,48.83270662,21.85666667,EndoZoo
Lacunaria crenata,0.806291667,4.990432587,41.99269245,16,EndoZoo
Lacunaria jenmanii,0.795605659,5.582660538,69.67670013,18,EndoZoo
Laetia procera,0.627017429,1.29982829,57.34998959,37,EndoZoo
Lecythis barnebyi,0.801091945,9.833390947,88.10535206,32.53334167,EndoZoo
Lecythis corrugata,0.776915714,9.833390947,88.10535206,30,EndoZoo
Lecythis holcogyne,0.77606,9.833390947,102.6960185,32,EndoZoo
Lecythis idatimon,0.798571429,9.833390947,94.11480944,34,EndoZoo
Lecythis lanceolata,0.9895,8.217088639,88.10535206,30,EndoZoo
Lecythis lurida,0.841916667,10.77098812,95.56617725,36,EndoZoo
Lecythis pisonis,0.873528267,8.437169748,113.2800042,50,EndoZoo
Lecythis prancei,0.875,9.833390947,76.97614071,32.53334167,EndoZoo
Lecythis zabucajo,0.849694167,6.856461985,69.00358819,32,EndoZoo
Leonia cymosa,0.65,5.948161385,60.91893659,21.5,EndoZoo
Licania adolphoduckei,0.804501603,9.615652223,88.77605937,25.19677177,SynZoo
Licania apetala,0.705855333,8.334871715,104.5563352,35,SynZoo
Licania belemii,0.823,9.615652223,88.77605937,27,SynZoo
Licania bracteata,0.804501603,9.615652223,88.77605937,25.19677177,SynZoo
Licania canescens,0.88,9.615652223,80.63744961,30,SynZoo
Licania discolor,0.8868725,9.615652223,88.77605937,25.19677177,SynZoo
Licania egleri,0.84,9.615652223,75.69999996,25.19677177,SynZoo
Licania heteromorpha,0.819590305,7.786697145,84.00008158,30,SynZoo
Licania heterophylla,0.804501603,9.615652223,88.77605937,25.19677177,SynZoo
Licania hoehnei,0.660355532,8.455317788,135.1978319,23.5,SynZoo
Licania impressa,0.9205,9.615652223,113.5758625,25.19677177,SynZoo
Licania kunthiana,0.903478191,5.80914249,103.0630282,10,SynZoo
Licania lamentanda,0.804501603,9.615652223,88.77605937,25,SynZoo
Licania latifolia,0.804501603,9.615652223,103.8566546,25,SynZoo
Licania laxiflora,1.0332,9.615652223,88.77605937,48,SynZoo
Licania leptostachya,0.804501603,9.615652223,88.77605937,25.19677177,SynZoo
Licania littoralis,0.91,7.38579108,88.77605937,26,SynZoo
Licania longistyla,0.804501603,10.53555688,80.04346303,20,SynZoo
Licania membranacea,0.88,5.913503006,123.2777689,42,SynZoo
Licania micrantha,0.837395765,9.615652223,110.1,36,SynZoo
Licania niloi,0.804501603,9.615652223,88.77605937,25.19677177,SynZoo
Licania oblongifolia,0.803538386,9.615652223,76.77409803,25.19677177,SynZoo
Licania octandra,0.8225,7.308878039,94.17082592,18,SynZoo
Licania rodriguesii,0.844,9.615652223,88.77605937,25.19677177,SynZoo
Licania salzmannii,0.82075,11.2505612,88.77605937,40,SynZoo
Licania sothersiae,0.839,9.615652223,62.1,25.19677177,SynZoo
Licania unguiculata,0.7375945,9.951832075,135.6439282,30,SynZoo
Licaria aurea,0.742584769,7.995331586,86.65864332,18.85416667,EndoZoo
Licaria bahiana,0.553,7.995331586,86.65864332,18.85416667,EndoZoo
Licaria brasiliensis,0.86,7.995331586,100.6412699,18.85416667,EndoZoo
Licaria chrysophylla,0.8575,7.995331586,86.65864332,18.85416667,EndoZoo
Licaria crassifolia,0.904457738,8.494743063,125.0253645,18.85416667,EndoZoo
Licaria guianensis,0.753039544,7.995331586,66.15944428,16,EndoZoo
Licaria martiniana,0.742584769,7.995331586,86.65864332,18.85416667,EndoZoo
Licaria rodriguesii,0.742584769,7.995331586,86.65864332,18.85416667,EndoZoo
Lindackeria latifolia,0.638636791,4.142643048,61.92822747,17.66666667,EndoZoo
Lindackeria paludosa,0.584476861,4.436751534,58.77167205,25,EndoZoo
Lindackeria paraensis,0.82,4.142643048,61.92822747,17.66666667,EndoZoo
Luehea cymulosa,0.501916667,1.687161882,49.73639709,16,NonZoo
Luehea grandiflora,0.5745,1.698265112,59.93874086,25,NonZoo
Luehea ochrophylla,0.566441111,1.687161882,43.15320062,18,NonZoo
Luehea speciosa,0.671079553,2.48906466,59.14420025,30,NonZoo
Lueheopsis duckeana,0.615867864,9.324750704,98.53550617,28,NonZoo
Lueheopsis rosea,0.33,4.033050123,74.34944238,28,NonZoo
Mabea angularis,0.618348273,5.480986086,62.79999997,15.75,NonZoo
Mabea angustifolia,0.618348273,5.480986086,73.90559954,15.75,EndoZoo
Mabea occidentalis,0.6433748,5.010635294,59.76214663,25,NonZoo
Mabea piriri,0.597583334,5.825270343,69.3822477,20,EndoZoo
Mabea speciosa,0.635,5.480986086,87.86722919,18,NonZoo
Machaerium hirtum,0.66,6.265901793,74.21906219,12,NonZoo
Macoubea guianensis,0.412389167,5.684501451,65.79999998,25,EndoZoo
Macrolobium angustifolium,0.6875,8.423761247,81.30962701,30,NonZoo
Macrolobium bifolium,0.66,7.984811905,50.05448679,20,NonZoo
Macrolobium brevense,0.64017532,7.984811905,64.89877394,28,NonZoo
Macrolobium campestre,0.64017532,7.984811905,64.89877394,28,NonZoo
Macrolobium gracile,0.64017532,7.984811905,57.35477811,25,NonZoo
Macrolobium latifolium,0.6705,7.984811905,64.89877394,28,NonZoo
Macrolobium limbatum,0.58,7.984811905,111,30,NonZoo
Macrolobium microcalyx,0.73,7.984811905,104.0385692,30,NonZoo
Macrolobium multijugum,0.64017532,7.989560449,64.89877394,28,NonZoo
Macrothumia kuhlmannii,0.604,6.400257445,61.83909465,20,EndoZoo
Malouetia cestroides,0.58,5.435044574,51.25877465,18,NonZoo
Mangifera indica,0.558215413,9.709052928,139.80613,30,SynZoo
Manilkara bidentata,0.867139351,6.697626665,127.3659113,40,EndoZoo
Manilkara cavalcantei,0.834,6.15989232,81.00000002,25.82798095,EndoZoo
Manilkara elata,0.924220693,6.15989232,140.5884856,45,EndoZoo
Manilkara longifolia,1.0015,6.15989232,111.846362,31,EndoZoo
Manilkara maxima,0.870098232,6.119297919,111.846362,31,EndoZoo
Manilkara multifida,0.870098232,6.15989232,111.846362,14,EndoZoo
Manilkara paraensis,0.86,6.15989232,111.846362,35,EndoZoo
Manilkara rufula,0.870098232,6.15989232,111.846362,25.82798095,EndoZoo
Manilkara salzmannii,0.995833334,5.411112861,114.3991526,40,EndoZoo
Maprounea guianensis,0.599711042,2.397895273,66.61214498,35,EndoZoo
Maquira coriacea,0.5112,6.018388327,74.32112346,50,EndoZoo
Maquira guianensis,0.663015288,5.313659078,53.03611269,30,EndoZoo
Maquira sclerophylla,0.5135,7.908387159,106.202865,30,EndoZoo
Margaritaria nobilis,0.595575809,4.529364154,45.07145692,30,EndoZoo
Marlierea excoriata,0.936,5.991464547,100.9693053,20,EndoZoo
Marlierea rufa,0.764927565,5.991464547,93.73406321,13.20138889,EndoZoo
Matayba discolor,0.86,5.708061094,79.14814361,7,EndoZoo
Matayba guianensis,0.820966667,5.79533706,84.00000001,25,EndoZoo
Matayba sylvatica,0.725291005,5.708061094,79.14814361,20.57551852,EndoZoo
Matisia ochrocalyx,0.517736457,6.67171492,56.02486965,17,EndoZoo
Maytenus,0.730335805,4.308686708,108.589031,8.944651961,EndoZoo
Melanoxylon brauna,0.9798,3.757872326,42.00004199,25,NonZoo
Melicoccus pedicellaris,0.86,7.986179033,66.9671886,23,EndoZoo
Metrodorea flavida,0.66,4.701338468,85.98610496,19,NonZoo
Mezilaurus decurrens,0.745552118,7.525639975,74.13371507,27.25,EndoZoo
Mezilaurus duckei,0.672903099,7.525639975,101.8255572,27.25,EndoZoo
Mezilaurus itauba,0.726306187,7.525639975,92.28048601,45,EndoZoo
Mezilaurus lindaviana,0.68,7.525639975,74.13371507,27.25,EndoZoo
Miconia affinis,0.585019124,-1.416464435,55.79509398,10,EndoZoo
Miconia argyrophylla,0.619551179,-0.015166134,114.481969,10,EndoZoo
Miconia calvescens,0.42,-2.253794929,49.99999998,12,EndoZoo
Miconia centrodesma,0.619551179,-2.465104022,30.66073893,5,EndoZoo
Miconia chrysophylla,0.62,-0.015166134,66.08438996,15,EndoZoo
Miconia cuspidata,0.808,-0.916290732,94.95572753,22,EndoZoo
Miconia dichrophylla,0.75,-0.015166134,66.08438996,10.25732013,EndoZoo
Miconia dispar,0.619551179,-0.404215889,109.7321329,10.25732013,EndoZoo
Miconia dorsaliporosa,0.619551179,-0.015166134,66.08438996,10.25732013,EndoZoo
Miconia egensis,0.619551179,-0.015166134,66.08438996,10.25732013,EndoZoo
Miconia eriodonta,0.619551179,-0.015166134,66.08438996,10.25732013,EndoZoo
Miconia gratissima,0.619551179,-0.015166134,66.08438996,10.25732013,EndoZoo
Miconia hypoleuca,0.619551179,-0.015166134,74.35889651,10.25732013,EndoZoo
Miconia lepidota,0.75,-0.015166134,77.10000003,16,EndoZoo
Miconia minutiflora,0.5,-0.015166134,96.04535742,14,EndoZoo
Miconia mirabilis,0.60185,-0.015166134,80.71676488,20,EndoZoo
Miconia paniculata,0.619551179,-0.015166134,66.08438996,5,EndoZoo
Miconia poeppigii,0.596666667,-0.015166134,74.04664941,26,EndoZoo
Miconia prasina,0.664302072,1.10472689,73.56661652,18,EndoZoo
Miconia punctata,0.531,-0.047196435,89.19815326,16.5,EndoZoo
Miconia pyrifolia,0.5458847,-0.015166134,124.688839,30,EndoZoo
Miconia ruficalyx,0.619551179,-0.015166134,61.22385934,26,EndoZoo
Miconia tetraspermoides,0.619551179,-0.015166134,66.08438996,10.25732013,EndoZoo
Miconia tomentosa,0.71,-1.609437912,58.1868963,10.25732013,EndoZoo
Micrandropsis scleroxylon,1.03,5.459372726,83.59999999,25,NonZoo
Micropholis,0.638866117,5.809357253,97.96207862,27.89761905,EndoZoo
Micropholis acutangula,0.638866117,5.809357253,97.96207862,27.89761905,EndoZoo
Micropholis crassipedicellata,0.6575,5.298317367,190.8761215,35,EndoZoo
Micropholis egensis,0.598873016,5.992089352,54.66662096,32,EndoZoo
Micropholis gardneriana,0.725,5.809357253,166.7,27.89761905,EndoZoo
Micropholis guyanensis,0.652798899,5.881231067,67.60494187,35,EndoZoo
Micropholis melinoniana,0.53,5.809357253,97.96207862,40,EndoZoo
Micropholis splendens,0.884073512,5.809357253,147.1000001,27.89761905,EndoZoo
Micropholis venulosa,0.642658139,6.142037406,49.86962171,40,EndoZoo
Micropholis williamii,0.718,5.809357253,153.8,27.89761905,EndoZoo
Minquartia guianensis,0.758846594,7.367024416,71.87926683,40,EndoZoo
Moldenhawera blanchetiana,0.81,6.43775165,81.30962701,21.66666667,NonZoo
Moldenhawera floribunda,0.81,6.43775165,153.8,22,NonZoo
Monteverdia distichophylla,0.773775801,4.94227903,114.8399543,22,EndoZoo
Monteverdia guyanensis,0.718833333,5.703782475,80.1785416,30,EndoZoo
Monteverdia myrsinoides,0.75,4.94227903,158.6510095,31,EndoZoo
Monteverdia schummaniana,0.739401882,4.94227903,105.3860861,18,EndoZoo
Moronobea coccinea,0.832223334,7.60090246,59.68980044,36,EndoZoo
Mouriri brachyanthera,0.7220887,5.323239335,98.19999996,16.93333333,EndoZoo
Mouriri collocarpa,0.833333333,5.323239335,80.67961725,16.93333333,EndoZoo
Mouriri duckeana,0.846316623,5.323239335,80.67961725,16.93333333,EndoZoo
Mouriri ficoides,0.846316623,5.323239335,80.67961725,16.93333333,EndoZoo
Mouriri nervosa,0.846316623,5.323239335,80.67961725,16.93333333,EndoZoo
Mouriri nigra,0.895,5.394608429,44.2,33,EndoZoo
Mouriri regeliana,0.846316623,5.323239335,80.67961725,16.93333333,EndoZoo
Mouriri sagotiana,0.9,5.323239335,80.67961725,16.93333333,EndoZoo
Myrcia amazonica,0.821377472,4.394449155,94.28660925,8,EndoZoo
Myrcia amplexicaulis,0.798578387,5.499878852,207.3000001,12,EndoZoo
Myrcia bergiana,0.798578387,5.499878852,97.07720881,11.68532829,EndoZoo
Myrcia bracteata,0.798578387,5.499878852,97.07720881,11.68532829,EndoZoo
Myrcia caudata,0.798578387,5.499878852,97.07720881,11.68532829,EndoZoo
Myrcia eximia,0.798578387,5.499878852,97.07720881,18,EndoZoo
Myrcia fenestrata,0.798578387,5.499878852,97.07720881,11.68532829,EndoZoo
Myrcia minutiflora,0.798578387,5.499878852,97.07720881,11.68532829,EndoZoo
Myrcia multiflora,0.78975,2.52332576,98.55187093,17,EndoZoo
Myrcia multipunctata,0.798578387,5.499878852,97.07720881,7,EndoZoo
Myrcia neoglabra,0.936,5.499878852,97.07720881,14,EndoZoo
Myrcia obversa,0.936,5.499878852,97.07720881,22,EndoZoo
Myrcia paivae,0.773975,5.499878852,97.07720881,11.68532829,EndoZoo
Myrcia pubipetala,0.7878,5.298317367,120.2356619,25,EndoZoo
Myrcia pyrifolia,0.82,5.499878852,97.07720881,11.68532829,EndoZoo
Myrcia racemosa,0.743809019,6.579251212,77.84524364,27,EndoZoo
Myrcia rotundifolia,0.798578387,5.499878852,97.07720881,4,EndoZoo
Myrcia rufipila,0.798578387,5.393627546,97.07720881,11.68532829,EndoZoo
Myrcia servata,0.798578387,5.499878852,97.07720881,11.68532829,EndoZoo
Myrcia splendens,0.788742882,4.568218424,85.73449754,30,EndoZoo
Myrcia strigipes,0.919269014,5.703782475,94.18460967,22,EndoZoo
Myrcia sylvatica,0.53,5.499878852,118.9161345,10,EndoZoo
Myrcia tomentosa,0.82,5.599421459,119.2572326,12,EndoZoo
Myrcia umbraticola,0.798578387,5.499878852,104.8793034,11.68532829,EndoZoo
