Biome,Region,Region_Plot,X,Y,PlotSize,BA_ha,fc500,fc1000,fc2000,e_dens500,e_dens1000,e_dens2000,nfrag500,nfrag1000,nfrag2000,lnFL500,lnFL1000,lnFL2000,lnNfrag500,lnNfrag1000,lnNfrag2000,ln_edg500,ln_edg1000,ln_edg2000,CWD,TS,MAP
Amazonia,STM,STM_363_1,-54.95064021,-3.301742701,0.25,29.92801196,0.981449394,0.987500254,0.962553101,0,0,0.05,1,1,4,-3.987252822,-4.382046955,-3.284831376,0,0,1.386294361,-4.605170186,-4.605170186,-2.813410717,-311.83334,57.72683,1833
Amazonia,STM,STM_363_2,-54.95576653,-3.284746686,0.25,20.70763432,0.979472299,0.988404684,0.9270954,0,0,0.06,1,1,4,-3.885980037,-4.457154056,-2.618603542,0,0,1.386294361,-4.605170186,-4.605170186,-2.659260037,-312.45834,57.72683,1837
Amazonia,STM,STM_363_3,-54.96368545,-3.296724583,0.25,27.22812378,0.98382644,0.988994833,0.992009386,0,0,0,1,1,1,-4.124377469,-4.509390389,-4.829487676,0,0,0,-4.605170186,-4.605170186,-4.605170186,-311.83334,57.47858,1837
Amazonia,STM,STM_363_4,-54.97291569,-3.349391324,0.25,20.1482967,0.978834205,0.987492425,0.992023766,0,0,0,1,1,1,-3.855368844,-4.381420818,-4.831288909,0,0,0,-4.605170186,-4.605170186,-4.605170186,-309.83334,56.90236,1845
Amazonia,STM,STM_363_5,-54.98455486,-3.337254734,0.25,20.8947061,0.981465984,0.988215903,0.992048396,0,0,0,1,1,1,-3.988147533,-4.441004368,-4.83438161,0,0,0,-4.605170186,-4.605170186,-4.605170186,-309.83334,56.66222,1851
Amazonia,STM,STM_363_6,-54.95629952,-3.336310116,0.25,25.23661646,0.982505262,0.987701264,0.991923151,0,0,0,1,1,1,-4.045855129,-4.398258786,-4.818753458,0,0,0,-4.605170186,-4.605170186,-4.605170186,-311.83334,57.10669,1842
Amazonia,STM,STM_363_7,-54.96073137,-3.32040669,0.25,24.4484482,0.980640434,0.989385197,0.99214968,0,0,0,1,1,1,-3.944568615,-4.545505743,-4.847200984,0,0,0,-4.605170186,-4.605170186,-4.605170186,-311.83334,57.49836,1841
Amazonia,STM,STM_363_8,-54.97277668,-3.329445811,0.25,36.072634,0.979264343,0.987380978,0.992047593,0,0,0,1,1,1,-3.8759005,-4.372549921,-4.834280629,0,0,0,-4.605170186,-4.605170186,-4.605170186,-311.83334,57.02704,1850
Amazonia,STM,STM_399_3,-54.83079169,-3.499592194,0.25,26.20021024,0.929225772,0.95833307,0.928247427,0.16,0.14,0.16,1,1,6,-2.648260356,-3.17804751,-2.634531564,0,0,1.791759469,-1.771956842,-1.897119985,-1.771956842,-317.83334,57.29211,1819
Amazonia,STM,STM_399_6,-54.84232783,-3.475064715,0.25,21.76799662,0.862617321,0.794884533,0.712751737,0.36,0.4,0.31,2,7,14,-1.98498497,-1.584182205,-1.247408409,0.693147181,1.945910149,2.63905733,-0.994252273,-0.891598119,-1.139434283,-317.83334,56.57355,1823
Amazonia,STM,STM_399_7,-54.84295172,-3.429836093,0.25,15.77515904,0.968003804,0.804530225,0.846048887,0.2,0.19,0.19,1,5,19,-3.442138258,-1.632349515,-1.871120175,0,1.609437912,2.944438979,-1.560647748,-1.609437912,-1.609437912,-314.83334,57.21271,1814
Amazonia,STM,STM_399_9,-54.86193202,-3.446983886,0.25,21.31469366,0.767606713,0.808837067,0.867934198,0.23,0.24,0.22,8,14,45,-1.45932414,-1.654629162,-2.024454981,2.079441542,2.63905733,3.80666249,-1.427116356,-1.386294361,-1.46967597,-314.83334,56.37233,1824
Amazonia,STM,STM_69_11,-54.67120788,-2.574024234,0.25,18.02244134,0.221254759,0.323091014,0.262822489,0.2,0.28,0.21,4,11,29,-0.25007132,-0.390218452,-0.30492656,1.386294361,2.397895273,3.36729583,-1.560647748,-1.237874356,-1.514127733,-336.12499,65.48624,2004
Amazonia,STM,STM_69_8,-54.67528654,-2.51496646,0.25,14.9006345,0.541816624,0.446292292,0.349244885,0.24,0.25,0.25,1,3,37,-0.780485791,-0.591118334,-0.429621875,0,1.098612289,3.610917913,-1.386294361,-1.347073648,-1.347073648,-333.58333,62.51667,2048
Amazonia,STM,STM_81_15,-54.46692064,-2.65805006,0.25,23.56556498,0.922310159,0.842864511,0.6834698,0.1,0.12,0.09,1,3,7,-2.555030777,-1.850646859,-1.150336623,0,1.098612289,1.945910149,-2.207274913,-2.040220829,-2.302585093,-329.16666,63.4772,1928
Amazonia,STM,STM_81_3,-54.5436908,-2.614187084,0.25,23.75669364,0.663968954,0.545924913,0.380047763,0.2,0.21,0.19,4,7,34,-1.090551724,-0.789492705,-0.478112841,1.386294361,1.945910149,3.526360525,-1.560647748,-1.514127733,-1.609437912,-330.12499,64.22028,1954
Amazonia,STM,STM_81_9,-54.5383934,-2.602182208,0.25,23.06244906,0.664360181,0.439550498,0.371351779,0.3,0.24,0.21,1,2,35,-1.091716661,-0.579016135,-0.464183446,0,0.693147181,3.555348061,-1.171182982,-1.386294361,-1.514127733,-327.12499,63.51448,1945
Satlantic,Una,Una_118_2,-39.3750011,-15.78075577,0.05,28.182756,0.200960082,0.094359558,0.071726631,0.2,0.09,0.07,5,9,30,-0.224344375,-0.099112915,-0.074429011,1.609437912,2.197224577,3.401197382,-1.560647748,-2.302585093,-2.525728644,-158.5,161.36433,1250
Satlantic,Una,Una_120_2,-39.36457657,-15.71496805,0.05,30.31984,0.132477281,0.15745608,0.176318851,0.13,0.16,0.17,4,12,62,-0.142113578,-0.171329488,-0.193971779,1.386294361,2.48490665,4.127134385,-1.966112856,-1.771956842,-1.714798428,-124.83334,159.36604,1248
Satlantic,Una,Una_171_1,-39.24457874,-15.81802559,0.05,32.1507426,0.937579895,0.791388842,0.614735921,0.2,0.27,0.3,2,9,24,-2.77386786,-1.567283248,-0.95382626,0.693147181,2.197224577,3.17805383,-1.560647748,-1.272965676,-1.171182982,-79.79166,157.96228,1376
Satlantic,Una,Una_187_1,-39.23866866,-15.89504595,0.05,52.4809552,0.856814252,0.599445031,0.539257997,0.25,0.21,0.26,1,4,16,-1.943612555,-0.914904271,-0.774917039,0,1.386294361,2.772588722,-1.347073648,-1.514127733,-1.30933332,-87.375,157.29905,1362
Satlantic,Una,Una_187_3,-39.22695612,-15.90165627,0.05,21.9907231,0.52160513,0.558479132,0.69321143,0.17,0.2,0.27,1,4,8,-0.7373188,-0.817529994,-1.181596466,0,1.386294361,2.079441542,-1.714798428,-1.560647748,-1.272965676,-87.375,159.67474,1361
Satlantic,Una,Una_24_1,-39.21900393,-15.17193885,0.05,32.0273249,0.961526255,0.916742239,0.903352547,0.1,0.29,0.26,1,2,8,-3.257779218,-2.485813929,-2.336685426,0,0.693147181,2.079441542,-2.207274913,-1.203972804,-1.30933332,-49.70834,145.44603,1659
Satlantic,Una,Una_33_1,-39.18501076,-15.3399722,0.05,23.1043555,0.685485078,0.750778237,0.699358186,0.55,0.41,0.31,2,9,32,-1.156723757,-1.389412164,-1.20183571,0.693147181,2.197224577,3.465735903,-0.579818495,-0.867500568,-1.139434283,-87.66668,151.69248,1647
Satlantic,Una,Una_33_2,-39.20045952,-15.3498731,0.05,31.1549387,0.60908678,0.614816879,0.64003418,0.31,0.29,0.25,4,13,27,-0.939269687,-0.954036419,-1.021746196,1.386294361,2.564949357,3.295836866,-1.139434283,-1.203972804,-1.347073648,-87.66668,150.70039,1631
Satlantic,Una,Una_35_1,-39.14884543,-15.2812874,0.05,31.4433477,0.595528676,0.695599852,0.729139349,0.39,0.42,0.41,4,6,15,-0.905174437,-1.189412167,-1.306150793,1.386294361,1.791759469,2.708050201,-0.916290732,-0.84397007,-0.867500568,-40.375,147.65528,1712
Satlantic,Una,Una_35_2,-39.19544517,-15.29574239,0.05,49.2751722,0.935957821,0.772401722,0.822280727,0.2,0.34,0.32,1,1,6,-2.748213366,-1.480173143,-1.727550092,0,0,1.791759469,-1.560647748,-1.049822124,-1.108662625,-76.70834,148.29522,1635
Satlantic,Una,Una_46_1,-39.50500474,-15.80086782,0.05,22.1823102,0.116981711,0.065535673,0.1079819,0.11,0.06,0.1,1,3,26,-0.124409366,-0.067781826,-0.114268855,0,1.098612289,3.258096538,-2.120263536,-2.659260037,-2.207274913,-261.95833,160.41318,1094
Satlantic,Una,Una_50_2,-39.15872908,-15.24867163,0.05,45.0012554,0.806956952,0.742191643,0.660217569,0.53,0.4,0.42,3,11,41,-1.644842068,-1.355538772,-1.079449775,1.098612289,2.397895273,3.713572067,-0.616186139,-0.891598119,-0.84397007,-37.125,147.06408,1714
Satlantic,Una,Una_51_1,-39.1420849,-15.21124398,0.05,37.819102,0.628085425,0.559700866,0.661256606,0.16,0.09,0.17,1,3,11,-0.989091088,-0.820300933,-1.082512408,0,1.098612289,2.397895273,-1.771956842,-2.302585093,-1.714798428,-37.125,145.23428,1747
Satlantic,Una,Una_64_2,-39.48420576,-15.78128868,0.05,12.0943537,0.086368133,0.029356673,0.109908646,0.09,0.03,0.09,2,3,34,-0.09032756,-0.029796204,-0.116431177,0.693147181,1.098612289,3.526360525,-2.302585093,-3.218875825,-2.302585093,-217.91666,159.30721,1111
Satlantic,Una,Una_89_3,-39.04485067,-15.34699867,0.05,36.6237982,0.824292885,0.744317003,0.629907563,0.41,0.37,0.36,1,4,21,-1.738936789,-1.363816895,-0.994002475,0,1.386294361,3.044522438,-0.867500568,-0.967584026,-0.994252273,-3.83333,150.11361,1783
Satlantic,Una,Una_ICO21,-39.13650103,-14.99630625,0.08,92.7789238,0.980888713,0.941960735,0.868208796,0.06,0.24,0.29,1,1,10,-3.957476176,-2.846635515,-2.026536397,0,0,2.302585093,-2.659260037,-1.386294361,-1.203972804,-32.79166,139.82945,1810
Satlantic,Una,Una_IFR11,-39.0963971,-14.96925928,0.08,56.80608489,0.578664,0.663940293,0.632155338,0.19,0.25,0.33,5,11,34,-0.864324664,-1.090466435,-1.000094544,1.609437912,2.397895273,3.526360525,-1.609437912,-1.347073648,-1.078809661,-9.41666,138.14449,1890
Satlantic,Una,Una_IFR21,-39.12159706,-14.99280025,0.08,67.53370611,0.956162279,0.866990176,0.778625939,0.2,0.31,0.32,1,4,23,-3.127260622,-2.017332289,-1.507901425,0,1.386294361,3.135494216,-1.560647748,-1.139434283,-1.108662625,-9.41666,138.81737,1836
Satlantic,Una,Una_IICO21,-39.141211,-15.13780402,0.08,81.73235666,0.885749085,0.941312868,0.960230754,0.12,0.08,0.08,1,1,3,-2.16935824,-2.835534793,-3.224661379,0,0,1.098612289,-2.040220829,-2.407945609,-2.407945609,-35.24999,141.17741,1763
Satlantic,Una,Una_IIFR21,-39.13728601,-15.11340806,0.08,63.13333393,0.789904118,0.829871228,0.823329545,0.48,0.3,0.28,1,3,13,-1.560191272,-1.771199646,-1.733469118,0,1.098612289,2.564949357,-0.713349888,-1.171182982,-1.237874356,-27.45832,143.04851,1766
Satlantic,Una,Una_IIICO11,-39.06723111,-15.18375093,0.08,70.21380724,0.982558518,0.989953701,0.98976963,0,0,0.02,1,1,1,-4.048903887,-4.600550971,-4.582394532,0,0,0,-4.605170186,-4.605170186,-3.506557897,-5.83333,144.40251,1819
Satlantic,Una,Una_IIIFR11,-39.03486216,-15.17864193,0.08,30.98635084,0.755041052,0.643898524,0.790014183,0.45,0.4,0.27,2,7,10,-1.406664642,-1.032539544,-1.560715289,0.693147181,1.945910149,2.302585093,-0.776528789,-0.891598119,-1.272965676,-3.83333,144.12484,1816
Satlantic,Una,Una_IIIFR21,-39.0749371,-15.15039799,0.08,84.90894475,0.874296244,0.871255747,0.924188236,0.36,0.28,0.14,2,4,6,-2.073827283,-2.049927377,-2.5795018,0.693147181,1.386294361,1.791759469,-0.994252273,-1.237874356,-1.897119985,-4.83333,142.7669,1819
