Biome,Region,Region_Plot,X,Y,PlotSize,BA_ha,fc500,fc1000,fc2000,e_dens500,e_dens1000,e_dens2000,nfrag500,nfrag1000,nfrag2000,lnFL500,lnFL1000,lnFL2000,lnNfrag500,lnNfrag1000,lnNfrag2000,ln_edg500,ln_edg1000,ln_edg2000,CWD,TS,MAP
Amazonia,Balbina,Balbina_72,-59.6254884,-1.61938427,0.25,30.5265933,0.89916168,0.602738995,0.521071134,0.28,0.31,0.26,2,4,19,-2.294236837,-0.923161771,-0.736203198,0.693147181,1.386294361,2.944438979,-1.237874356,-1.139434283,-1.30933332,-61.33334,52.02527,2374
Amazonia,Balbina,Balbina_76,-59.72326605,-1.85407843,0.25,31.92175182,0.980206596,0.988197112,0.967620885,0,0,0.04,1,1,1,-3.922406528,-4.439411032,-3.430241663,0,0,0,-4.605170186,-4.605170186,-2.995732274,-40.625,48.75726,2401
Amazonia,Balbina,Balbina_78,-59.73612714,-1.85482843,0.25,35.11083944,0.979843783,0.988290108,0.991932053,0,0,0,1,1,1,-3.904242502,-4.447321324,-4.819856228,0,0,0,-4.605170186,-4.605170186,-4.605170186,-40.625,47.35422,2414
Amazonia,Balbina,Balbina_8,-59.6323495,-1.830078456,0.25,39.1333647,0.043070623,0.016150389,0.041205205,0.04,0.02,0.04,1,4,15,-0.044025686,-0.016282228,-0.042078205,0,1.386294361,2.708050201,-2.995732274,-3.506557897,-2.995732274,-50.66667,53.2344,2302
Amazonia,Balbina,Balbina_81,-59.89498808,-1.428162292,0.25,30.75181608,0.981991232,0.971075592,0.86056746,0,0.07,0.15,1,1,6,-4.016896529,-3.543069473,-1.970174379,0,0,1.791759469,-4.605170186,-2.525728644,-1.832581464,-55.33334,46.12852,2374
Amazonia,Balbina,Balbina_84,-59.2466833,-1.819495121,0.25,32.55373648,0.98141927,0.988950111,0.992138808,0,0,0,1,1,1,-3.985630257,-4.505334896,-4.84581703,0,0,0,-4.605170186,-4.605170186,-4.605170186,-131.33334,50.81718,2342
Amazonia,Balbina,Balbina_9,-59.36401649,-1.765800748,0.25,37.45330142,0.103430968,0.164975487,0.318457633,0.11,0.14,0.16,3,7,15,-0.109179987,-0.180294198,-0.383396862,1.098612289,1.945910149,2.708050201,-2.120263536,-1.897119985,-1.771956842,-123.33334,52.67827,2350
Natlantic,PB,PB_Bica,-34.87408596,-7.111737162,0.1,31.13198708,0.20796412,0.090508283,0.029195556,0.21,0.09,0.03,6,16,44,-0.233148585,-0.094869388,-0.029630227,1.791759469,2.772588722,3.784189634,-1.514127733,-2.302585093,-3.218875825,-498.29167,88.37763,1957
Natlantic,PB,PB_Cuia,-34.85930548,-7.191895445,0.1,18.31111926,0.314971319,0.127671624,0.087761914,0.29,0.12,0.09,2,13,29,-0.378294572,-0.136589348,-0.091854264,0.693147181,2.564949357,3.36729583,-1.203972804,-2.040220829,-2.302585093,-474.29167,94.52833,1903
Natlantic,PB,PB_ER2,-35.12994742,-7.019723765,0.1,17.83160843,0.594759117,0.553091394,0.408973193,0.29,0.23,0.17,3,7,23,-0.903273616,-0.805401166,-0.525893904,1.098612289,1.945910149,3.135494216,-1.203972804,-1.427116356,-1.714798428,-634.75001,109.85788,1380
Natlantic,PB,PB_Flona,-34.85324118,-7.06413298,0.1,28.66567711,0.642156681,0.18183407,0.048617877,0.36,0.11,0.03,1,9,13,-1.027660045,-0.200690115,-0.049839485,0,2.197224577,2.564949357,-0.994252273,-2.120263536,-3.218875825,-506.29167,89.36221,1837
Natlantic,PB,PB_Gargau,-34.95780795,-7.019663978,0.1,33.97574438,0.983035583,0.988688038,0.806097527,0,0,0.08,1,1,1,-4.076637246,-4.481894529,-1.640399963,0,0,0,-4.605170186,-4.605170186,-2.407945609,-546.29167,97.727,1669
Natlantic,PB,PB_HortoCV,-34.82565065,-7.175314694,0.1,4.47581577,0.379068014,0.201903058,0.226957621,0.32,0.17,0.18,2,3,24,-0.476533726,-0.225525208,-0.257421408,0.693147181,1.098612289,3.17805383,-1.108662625,-1.714798428,-1.660731207,NA,92.49898,1963
Natlantic,PB,PB_JBBM,-34.86177423,-7.145606345,0.1,43.16537339,0.981292085,0.948320365,0.432422499,0.02,0.12,0.13,1,1,19,-3.978808583,-2.962691482,-0.566377973,0,0,2.944438979,-3.506557897,-2.040220829,-1.966112856,-485.29167,91.49847,1902
Natlantic,PB,PB_MFC1,-35.13687741,-6.989583815,0.03,39.24328857,0.842548091,0.432381635,0.188464145,0.27,0.25,0.13,2,9,50,-1.848635207,-0.566305979,-0.208826709,0.693147181,2.197224577,3.912023005,-1.272965676,-1.347073648,-1.966112856,-652.91668,110.51531,1315
Natlantic,PB,PB_MFC10,-35.10416745,-7.065373689,0.03,51.45408697,0.797252285,0.531731392,0.368903808,0.24,0.23,0.17,1,1,9,-1.595792856,-0.758713199,-0.460296984,0,0,2.197224577,-1.386294361,-1.427116356,-1.714798428,-619.75001,106.97191,1364
Natlantic,PB,PB_MFC11,-35.09886746,-7.073903674,0.03,75.55969163,0.391310094,0.369147775,0.324720945,0.27,0.24,0.17,1,2,7,-0.496446327,-0.460683636,-0.392629259,0,0.693147181,1.945910149,-1.272965676,-1.386294361,-1.714798428,-619.75001,106.06247,1368
Natlantic,PB,PB_MFC24,-35.08805748,-7.006013785,0.03,58.4116217,0.949527129,0.883626204,0.801504419,0.14,0.13,0.16,1,1,6,-2.986319295,-2.150947889,-1.616988441,0,0,1.791759469,-1.897119985,-1.966112856,-1.771956842,-611.75001,105.4311,1432
Natlantic,PB,PB_MFC25,-35.09408747,-7.073753674,0.03,25.35562687,0.42101707,0.391695472,0.351648204,0.35,0.3,0.19,1,3,6,-0.546482284,-0.497079654,-0.433321835,0,1.098612289,1.791759469,-1.021651248,-1.171182982,-1.609437912,-619.75001,106.06247,1368
Natlantic,PB,PB_MFC50,-35.09851747,-7.02157376,0.03,47.8622599,0.573351011,0.601198214,0.689069929,0.17,0.14,0.15,1,4,6,-0.851793644,-0.919290762,-1.168187244,0,1.386294361,1.791759469,-1.714798428,-1.897119985,-1.832581464,-611.75001,105.21534,1417
Natlantic,PB,PB_MFC6,-35.10433746,-7.008833782,0.03,51.46635343,0.976585202,0.924290626,0.742284491,0.08,0.14,0.18,1,2,10,-3.754387063,-2.580853295,-1.355898981,0,0.693147181,2.302585093,-2.407945609,-1.897119985,-1.660731207,-611.75001,107.2027,1413
NAtlantic,PB,PB_MRN11,-35.09933747,-7.030153746,0.03,77.9267516,0.304028511,0.285298613,0.594371681,0.27,0.23,0.22,3,4,12,-0.362446584,-0.335890464,-0.902318009,1.098612289,1.386294361,2.48490665,-1.272965676,-1.427116356,-1.46967597,-611.75001,104.73905,1414
Natlantic,PB,PB_UFPB,-34.84345707,-7.138253057,0.1,32.68540143,0.521542569,0.356807098,0.267486191,0.45,0.29,0.16,5,8,26,-0.737188035,-0.441310597,-0.311273086,1.609437912,2.079441542,3.258096538,-0.776528789,-1.203972804,-1.771956842,-485.29167,90.0284,1926
Natlantic,PB,PB_XemXem,-34.93307787,-7.154555101,0.1,20.69860932,0.925110855,0.468730185,0.209692832,0.29,0.22,0.14,1,1,8,-2.591746326,-0.632485261,-0.235333589,0,0,2.079441542,-1.203972804,-1.46967597,-1.897119985,-529.29167,98.30381,1760
Amazonia,PGM,PGM_100_3,-47.84636163,-2.750428746,0.25,10.89339476,0.591056404,0.451777867,0.599939004,0.52,0.38,0.39,10,28,81,-0.89417804,-0.601074722,-0.916138253,2.302585093,3.33220451,4.394449155,-0.634878272,-0.94160854,-0.916290732,-381.33334,40.34652,2075
Amazonia,PGM,PGM_100_5,-47.86831917,-2.762242213,0.25,16.97338932,0.709184725,0.808434367,0.62831516,0.18,0.19,0.34,1,3,50,-1.235067007,-1.652524798,-0.989708988,0,1.098612289,3.912023005,-1.660731207,-1.609437912,-1.049822124,-381.33334,39.04156,2077
Amazonia,PGM,PGM_100_6,-47.87746645,-2.730709527,0.25,18.1789515,0.611088901,0.523770567,0.532429766,0.4,0.42,0.41,4,17,67,-0.944404499,-0.741855539,-0.760205708,1.386294361,2.833213344,4.204692619,-0.891598119,-0.84397007,-0.867500568,-367.33334,40.3019,2083
Amazonia,PGM,PGM_100_9,-47.86408336,-2.743967766,0.25,2.71207766,0.451222223,0.525068219,0.539219533,0.38,0.34,0.31,5,26,71,-0.600061697,-0.744584104,-0.77483356,1.609437912,3.258096538,4.262679877,-0.94160854,-1.049822124,-1.139434283,-370.33334,40.92446,2079
Amazonia,PGM,PGM_142_1,-47.63371453,-2.932839874,0.25,12.57033374,0.978192823,0.888870704,0.698764474,0,0.05,0.1,1,1,11,-3.825516143,-2.197060927,-1.199862842,0,0,2.397895273,-4.605170186,-2.813410717,-2.207274913,-450.41666,42.1577,1988
Amazonia,PGM,PGM_142_12,-47.65001224,-2.921466315,0.25,18.21736626,0.599196508,0.404822588,0.453668935,0.21,0.13,0.1,1,2,6,-0.914284017,-0.518895746,-0.604530141,0,0.693147181,1.791759469,-1.514127733,-1.966112856,-2.207274913,-450.41666,42.73777,1998
Amazonia,PGM,PGM_142_3,-47.66514477,-2.932548436,0.25,18.7215906,0.473930225,0.132690734,0.156245564,0.31,0.09,0.07,1,2,6,-0.642321423,-0.142359658,-0.169893779,0,0.693147181,1.791759469,-1.139434283,-2.302585093,-2.525728644,-450.41666,41.68787,2022
Amazonia,PGM,PGM_142_4,-47.6747351,-2.912676975,0.25,20.51137804,0.903177637,0.735638992,0.583071816,0.11,0.11,0.09,1,5,10,-2.334877289,-1.330439655,-0.874841293,0,1.609437912,2.302585093,-2.120263536,-2.120263536,-2.302585093,-433.37499,41.76959,2002
Amazonia,PGM,PGM_142_5,-47.632228,-2.922962848,0.25,25.58280146,0.984677387,0.931353278,0.736261186,0,0.08,0.12,1,1,4,-4.178425568,-2.678781897,-1.332796006,0,0,1.386294361,-4.605170186,-2.407945609,-2.040220829,-450.41666,41.34115,1994
Amazonia,PGM,PGM_142_6,-47.69270751,-2.899103956,0.25,14.25016152,0.845347988,0.665697233,0.545223972,0.28,0.17,0.14,5,8,19,-1.86657777,-1.095708209,-0.787950227,1.609437912,2.079441542,2.944438979,-1.237874356,-1.714798428,-1.897119985,-433.37499,41.62196,2005
Amazonia,PGM,PGM_147_1,-47.18372667,-2.947926459,0.25,15.68946216,0.982107905,0.988484289,0.849373942,0,0.01,0.05,1,1,1,-4.023396284,-4.464043002,-1.892954951,0,0,0,-4.605170186,-3.912023005,-2.813410717,-461.16666,42.02046,1934
Amazonia,PGM,PGM_147_11,-47.20058778,-2.909880809,0.25,20.26213112,0.765101908,0.693141141,0.773727521,0.13,0.08,0.1,1,3,7,-1.44860351,-1.18136738,-1.486015347,0,1.098612289,1.945910149,-1.966112856,-2.407945609,-2.207274913,-447.16666,41.25631,1945
Amazonia,PGM,PGM_147_2,-47.15518334,-2.948694217,0.25,18.6652904,0.724342628,0.756530814,0.859827652,0.12,0.11,0.06,1,1,1,-1.28859659,-1.412764891,-1.964882556,0,0,0,-2.040220829,-2.120263536,-2.659260037,-455.16666,39.1094,1925
Amazonia,PGM,PGM_147_3,-47.15650866,-2.914919214,0.25,16.47599448,0.981753153,0.964508187,0.892719996,0,0.09,0.09,1,1,2,-4.003762981,-3.338453229,-2.232313003,0,0,0.693147181,-4.605170186,-2.302585093,-2.302585093,-446.16666,40.95452,1932
Amazonia,PGM,PGM_147_5,-47.17504624,-2.939849948,0.25,17.30419146,0.898090199,0.841711609,0.859246137,0.11,0.07,0.08,1,1,1,-2.283667161,-1.84333665,-1.960742567,0,0,0,-2.120263536,-2.525728644,-2.407945609,-461.16666,40.2337,1934
Amazonia,PGM,PGM_147_7,-47.17363595,-2.911831268,0.25,18.79454536,0.981463391,0.983310189,0.950146076,0,0.02,0.08,1,1,1,-3.988007637,-4.092956866,-2.99865807,0,0,0,-4.605170186,-3.506557897,-2.407945609,-447.16666,40.95452,1930
Amazonia,PGM,PGM_147_8,-47.19968338,-2.899650842,0.25,18.99096806,0.982125252,0.987590548,0.91427383,0,0,0.03,1,1,3,-4.024366288,-4.389296839,-2.456597132,0,0,1.098612289,-4.605170186,-4.605170186,-3.218875825,-447.16666,40.12055,1928
Amazonia,PGM,PGM_202_1,-47.38545809,-2.964548975,0.25,14.17208856,0.895848439,0.681112539,0.448266159,0.13,0.12,0.11,1,4,21,-2.261908123,-1.142917025,-0.594689521,0,1.386294361,3.044522438,-1.966112856,-2.040220829,-2.120263536,-474.41666,48.88918,1961
Amazonia,PGM,PGM_202_13,-47.42943088,-2.995101285,0.25,17.51800662,0.632888654,0.43610465,0.313395331,0.25,0.23,0.13,3,4,8,-1.002090082,-0.572886594,-0.375996598,1.098612289,1.386294361,2.079441542,-1.347073648,-1.427116356,-1.966112856,-476.41666,47.98199,1964
Amazonia,PGM,PGM_202_2,-47.37930955,-3.055349663,0.25,7.6370138,0.760833851,0.492248548,0.323966938,0.29,0.18,0.11,1,5,22,-1.430596784,-0.677763219,-0.391513296,0,1.609437912,3.091042453,-1.203972804,-1.660731207,-2.120263536,-488.41666,49.31348,1950
Amazonia,PGM,PGM_235_1,-47.30189582,-3.088808929,0.25,20.43890056,0.315360521,0.161937725,0.101743907,0.28,0.15,0.1,7,8,39,-0.378862887,-0.176662867,-0.10730007,1.945910149,2.079441542,3.663561646,-1.237874356,-1.832581464,-2.207274913,-505.20833,48.74953,1945
Amazonia,PGM,PGM_235_3,-47.34855765,-3.107509167,0.25,11.61174512,0.979833218,0.903498932,0.806286447,0,0.07,0.08,1,1,2,-3.903718484,-2.338201203,-1.641374742,0,0,0.693147181,-4.605170186,-2.525728644,-2.407945609,-497.04166,46.87183,1930
Amazonia,PGM,PGM_245_2,-46.82962279,-3.111905097,0.25,16.3989169,0.983482698,0.988097378,0.989327387,0,0,0.01,1,1,1,-4.103346841,-4.430996567,-4.540074351,0,0,0,-4.605170186,-4.605170186,-3.912023005,-478.37501,40.28309,1898
Amazonia,PGM,PGM_245_4,-46.82833182,-3.126749363,0.25,16.83948716,0.982758639,0.987584903,0.971239647,0,0,0.06,1,1,1,-4.060444073,-4.388842047,-3.548757472,0,0,0,-4.605170186,-4.605170186,-2.659260037,-488.37501,42.13074,1891
Amazonia,PGM,PGM_245_5,-46.81901838,-3.104746959,0.25,22.45678388,0.975945875,0.966489542,0.828806852,0,0.06,0.05,1,1,3,-3.727448779,-3.39589771,-1.764962839,0,0,1.098612289,-4.605170186,-2.659260037,-2.813410717,-478.37501,42.07453,1908
Amazonia,PGM,PGM_245_6,-46.87154277,-3.106102293,0.25,24.75636288,0.980094155,0.918338286,0.644155754,0.03,0.14,0.13,1,3,14,-3.916741872,-2.505170004,-1.033262155,0,1.098612289,2.63905733,-3.218875825,-1.897119985,-1.966112856,-472.25001,43.61503,1899
Amazonia,PGM,PGM_245_8,-46.81591485,-3.122942734,0.25,25.58330072,0.984432938,0.869199786,0.705841391,0.02,0.11,0.11,1,4,15,-4.162598007,-2.034084204,-1.223636171,0,1.386294361,2.708050201,-3.506557897,-2.120263536,-2.120263536,-478.37501,43.06442,1905
Amazonia,PGM,PGM_245_9,-46.83199679,-3.13849307,0.25,21.26874004,0.975498598,0.831253174,0.692002723,0.05,0.12,0.08,1,1,3,-3.709024939,-1.779355758,-1.177664337,0,0,1.098612289,-2.813410717,-2.040220829,-2.407945609,-488.37501,42.39961,1886
Amazonia,PGM,PGM_269_1,-47.60780938,-3.171224878,0.25,21.46200362,0.959982483,0.916382451,0.676737598,0.19,0.18,0.14,1,1,3,-3.218437996,-2.481501865,-1.129290895,0,0,1.098612289,-1.609437912,-1.660731207,-1.897119985,-493.33334,40.68308,1959
Amazonia,PGM,PGM_269_10,-47.63522274,-3.220176693,0.25,19.35690366,0.983718918,0.945099774,0.742632235,0,0.06,0.09,1,2,9,-4.117751459,-2.902237814,-1.357249225,0,0.693147181,2.197224577,-4.605170186,-2.659260037,-2.302585093,-491.33334,44.89676,1942
Amazonia,PGM,PGM_269_11,-47.59245928,-3.249098943,0.25,19.01330288,0.978928881,0.988419531,0.991960951,0,0,0,1,1,1,-3.859851944,-4.458435307,-4.823444486,0,0,0,-4.605170186,-4.605170186,-4.605170186,-493.33334,42.12176,1927
Amazonia,PGM,PGM_269_2,-47.63233608,-3.18976783,0.25,13.4579301,0.951749714,0.79973977,0.703695575,0.09,0.15,0.15,1,2,11,-3.031353524,-1.608137608,-1.21636789,0,0.693147181,2.397895273,-2.302585093,-1.832581464,-1.832581464,-491.33334,41.94152,1944
Amazonia,PGM,PGM_269_4,-47.6194886,-3.222015017,0.25,24.10801882,0.981491677,0.988500757,0.867288784,0,0,0.05,1,1,8,-3.989534756,-4.465474072,-2.01957982,0,0,2.079441542,-4.605170186,-4.605170186,-2.813410717,-493.33334,42.31018,1935
Amazonia,PGM,PGM_269_6,-47.61817594,-3.182992967,0.25,11.68670634,0.797655368,0.68652126,0.546033544,0.21,0.14,0.13,1,1,9,-1.597782936,-1.160023736,-0.789731969,0,0,2.197224577,-1.514127733,-1.897119985,-1.966112856,-493.33334,42.29004,1946
Amazonia,PGM,PGM_269_7,-47.59704445,-3.219809642,0.25,18.46119982,0.968320583,0.985961218,0.942204944,0.08,0.02,0.06,1,1,2,-3.452088115,-4.265931636,-2.850852043,0,0,0.693147181,-2.407945609,-3.506557897,-2.659260037,-493.33334,41.35947,1935
Amazonia,PGM,PGM_269_8,-47.59665746,-3.235616265,0.25,24.91380562,0.982822065,0.98751836,0.991203588,0,0,0.01,1,1,1,-4.064129568,-4.383496514,-4.733411368,0,0,0,-4.605170186,-4.605170186,-3.912023005,-493.33334,41.18281,1927
Amazonia,PGM,PGM_274_1,-47.37246137,-3.206534945,0.25,18.23705092,0.721340272,0.61685956,0.554797202,0.13,0.08,0.04,1,6,6,-1.277763854,-0.959353673,-0.809225375,0,1.791759469,1.791759469,-1.966112856,-2.407945609,-2.995732274,-501.95834,45.03155,1887
Amazonia,PGM,PGM_274_2,-47.36409059,-3.233232784,0.25,17.4414126,0.700992468,0.474147794,0.340041146,0.16,0.08,0.07,1,1,3,-1.207286515,-0.642735083,-0.415577788,0,0,1.098612289,-1.771956842,-2.407945609,-2.525728644,-501.95834,44.68748,1904
Amazonia,PGM,PGM_274_3,-47.38169478,-3.25994356,0.25,29.214246,0.756281841,0.649993497,0.592062071,0.13,0.08,0.07,1,2,6,-1.411742807,-1.049803545,-0.896640251,0,0.693147181,1.791759469,-1.966112856,-2.407945609,-2.525728644,-517.95834,44.33857,1912
Amazonia,PGM,PGM_274_4,-47.35412085,-3.258913743,0.25,11.29273682,0.513846492,0.428265158,0.470786689,0.19,0.1,0.09,3,4,17,-0.721230845,-0.559079958,-0.636363694,1.098612289,1.386294361,2.833213344,-1.609437912,-2.207274913,-2.302585093,-517.95834,43.11718,1902
Amazonia,PGM,PGM_274_5,-47.39389897,-3.231265915,0.25,11.84073276,0.981471388,0.907624062,0.613283843,0.01,0.06,0.08,1,1,7,-3.988439147,-2.381888746,-0.950064299,0,0,1.945910149,-3.912023005,-2.659260037,-2.407945609,-501.95834,47.11971,1902
Amazonia,PGM,PGM_274_6,-47.34152086,-3.225032752,0.25,19.31622496,0.908841838,0.803765953,0.694274742,0.09,0.08,0.06,1,2,5,-2.395159237,-1.628447215,-1.18506843,0,0.693147181,1.609437912,-2.302585093,-2.407945609,-2.659260037,-501.95834,46.4232,1903
Amazonia,PGM,PGM_274_7,-47.37523881,-3.246098416,0.25,22.01230432,0.805007873,0.662057416,0.534545878,0.12,0.09,0.11,1,4,7,-1.634796096,-1.084879268,-0.764741744,0,1.386294361,1.945910149,-2.040220829,-2.302585093,-2.120263536,-501.95834,45.34381,1911
Amazonia,PGM,PGM_274_8,-47.39691857,-3.208822409,0.25,15.00050848,0.983575298,0.963151702,0.797944299,0,0.08,0.06,1,1,1,-4.108968858,-3.300945849,-1.599211872,0,0,0,-4.605170186,-2.407945609,-2.659260037,-501.95834,46.40894,1897
Amazonia,PGM,PGM_315_1,-47.51666352,-3.323214419,0.25,10.51734208,0.679461271,0.532161971,0.471011566,0.26,0.2,0.26,1,2,27,-1.137752171,-0.759633135,-0.636788711,0,0.693147181,3.295836866,-1.30933332,-1.560647748,-1.30933332,-519.95834,43.08202,1898
Amazonia,PGM,PGM_315_3,-47.53387605,-3.299977881,0.25,17.92757252,0.829012082,0.689613995,0.598573585,0.22,0.27,0.25,4,13,42,-1.76616238,-1.169938579,-0.912731038,1.386294361,2.564949357,3.737669618,-1.46967597,-1.272965676,-1.347073648,-519.95834,41.56048,1919
Amazonia,PGM,PGM_342_1,-48.18080336,-3.320847209,0.25,17.04187586,0.976299156,0.987403494,0.985581121,0,0,0.01,1,1,1,-3.74224462,-4.374335805,-4.239216889,0,0,0,-4.605170186,-4.605170186,-3.912023005,-436.20834,40.01893,2039
Amazonia,PGM,PGM_342_2,-48.18532491,-3.293803132,0.25,15.54398282,0.980190223,0.989692938,0.991144682,0,0,0.01,1,1,1,-3.921579675,-4.574925988,-4.726737096,0,0,0,-4.605170186,-4.605170186,-3.912023005,-436.20834,39.37005,2061
Amazonia,PGM,PGM_342_4,-48.13641629,-3.282168279,0.25,19.76474884,0.983652723,0.987840307,0.991748321,0,0,0,1,1,1,-4.11369394,-4.409628649,-4.797338584,0,0,0,-4.605170186,-4.605170186,-4.605170186,-436.20834,40.08277,2054
Amazonia,PGM,PGM_342_5,-48.13702877,-3.267618088,0.25,17.37595616,0.982283026,0.988346176,0.99173508,0,0,0,1,1,1,-4.033232116,-4.452120912,-4.795735227,0,0,0,-4.605170186,-4.605170186,-4.605170186,-436.20834,38.6123,2059
Amazonia,PGM,PGM_342_6,-48.15287743,-3.263491431,0.25,16.63475288,0.981573156,0.988319289,0.991826252,0,0,0,1,1,1,-3.993946765,-4.44981643,-4.806827724,0,0,0,-4.605170186,-4.605170186,-4.605170186,-436.20834,37.62605,2054
Amazonia,PGM,PGM_342_7,-48.19709342,-3.318386523,0.25,13.10406466,0.982203337,0.987883695,0.90447879,0,0,0.04,1,1,2,-4.028744311,-4.413203213,-2.348406962,0,0,0.693147181,-4.605170186,-4.605170186,-2.995732274,-436.20834,39.80065,2049
Amazonia,PGM,PGM_342_8,-48.135957,-3.298280284,0.25,15.30761618,0.981567759,0.988249203,0.991723123,0,0,0,1,1,1,-3.993653919,-4.443834211,-4.794289556,0,0,0,-4.605170186,-4.605170186,-4.605170186,-442.20834,37.76924,2054
Amazonia,PGM,PGM_342_9,-48.17932041,-3.27409114,0.25,20.73523492,0.984132616,0.98758567,0.991010106,0,0,0.01,1,1,1,-4.143489597,-4.388903828,-4.711654221,0,0,0,-4.605170186,-4.605170186,-3.912023005,-433.20834,39.33877,2063
Amazonia,PGM,PGM_358_4,-47.19381869,-3.264355565,0.25,21.58323902,0.982036622,0.988914964,0.961627511,0,0,0.04,1,1,2,-4.019420149,-4.502159188,-3.260414508,0,0,0.693147181,-4.605170186,-4.605170186,-2.995732274,-522.08334,41.27697,1853
Amazonia,PGM,PGM_358_5,-47.21142844,-3.278991113,0.25,15.94934426,0.979500459,0.989017504,0.982824112,0,0,0.04,1,1,5,-3.887352783,-4.511452546,-4.064248739,0,0,1.609437912,-4.605170186,-4.605170186,-2.995732274,-522.08334,43.76896,1848
Amazonia,PGM,PGM_369_1,-47.80113866,-3.331745568,0.25,10.25089424,0.958405866,0.980928455,0.90093324,0.18,0.07,0.09,1,1,6,-3.179796131,-3.959557845,-2.311961313,0,0,1.791759469,-1.660731207,-2.525728644,-2.302585093,-490.33334,41.46922,1966
Amazonia,PGM,PGM_369_10,-47.81210751,-3.360899033,0.25,21.13734018,0.980665811,0.931603207,0.758315552,0,0.06,0.07,1,1,5,-3.945880299,-2.682429341,-1.420122338,0,0,1.609437912,-4.605170186,-2.659260037,-2.525728644,-490.25002,39.82917,1940
Amazonia,PGM,PGM_369_3,-47.8422735,-3.347689544,0.25,10.21964182,0.589312956,0.612787797,0.527489003,0.14,0.11,0.07,1,1,6,-0.889923805,-0.948782408,-0.749694258,0,0,1.791759469,-1.897119985,-2.120263536,-2.525728644,-482.20834,41.41439,1951
Amazonia,PGM,PGM_369_4,-47.81367888,-3.371670192,0.25,13.83734572,0.926312911,0.819641362,0.684459382,0.11,0.15,0.11,2,6,18,-2.607927678,-1.712807977,-1.153467864,0.693147181,1.791759469,2.890371758,-2.120263536,-1.832581464,-2.120263536,-490.25002,40.6761,1942
Amazonia,PGM,PGM_369_5,-47.79092971,-3.34709895,0.25,17.92375428,0.980389939,0.815707504,0.8048196,0.12,0.2,0.11,2,9,23,-3.931712528,-1.691231131,-1.63383102,0.693147181,2.197224577,3.135494216,-2.040220829,-1.560647748,-2.120263536,-495.25002,39.51409,1940
Amazonia,PGM,PGM_369_6,-47.81074354,-3.339889584,0.25,9.675508112,0.980090916,0.985811548,0.905869109,0,0.04,0.07,1,1,2,-3.916579169,-4.255326885,-2.363069008,0,0,0.693147181,-4.605170186,-2.995732274,-2.525728644,-490.25002,40.67612,1952
Amazonia,PGM,PGM_369_7,-47.7752267,-3.370790367,0.25,17.14941772,0.980142802,0.989344222,0.913134273,0,0.01,0.04,1,1,10,-3.919188718,-4.541652999,-2.44339172,0,0,2.302585093,-4.605170186,-3.912023005,-2.995732274,-495.25002,40.75751,1930
Amazonia,PGM,PGM_369_8,-47.77827593,-3.358712686,0.25,16.64319634,0.983565146,0.975484566,0.908416693,0,0.05,0.06,1,1,16,-4.108350955,-3.708452401,-2.390506262,0,0,2.772588722,-4.605170186,-2.813410717,-2.659260037,-495.25002,39.89333,1930
Amazonia,PGM,PGM_423_1,-47.44887535,-3.465355207,0.25,9.48272464,0.794041819,0.736140988,0.582461993,0.36,0.32,0.26,8,27,80,-1.580082136,-1.332340364,-0.873379704,2.079441542,3.295836866,4.382026635,-0.994252273,-1.108662625,-1.30933332,-554.95834,42.66456,1869
Amazonia,PGM,PGM_423_5,-47.45819297,-3.469391607,0.25,12.75485584,0.613101407,0.516941275,0.42360494,0.41,0.29,0.16,5,22,50,-0.949592654,-0.727617049,-0.550961985,1.609437912,3.091042453,3.912023005,-0.867500568,-1.203972804,-1.771956842,-554.95834,42.43308,1863
Amazonia,PGM,PGM_423_6,-47.41892107,-3.468080395,0.25,12.75385418,0.845941025,0.718120362,0.68355392,0.28,0.25,0.28,11,40,118,-1.870419795,-1.266275115,-1.150602415,2.397895273,3.688879454,4.770684624,-1.237874356,-1.347073648,-1.237874356,-554.95834,43.5542,1851
Amazonia,PGM,PGM_423_7,-47.52314297,-3.493390576,0.25,31.96626446,0.980562311,0.968905548,0.877058857,0.03,0.09,0.17,1,2,13,-3.940541366,-3.470725868,-2.09604955,0,0.693147181,2.564949357,-3.218875825,-2.302585093,-1.714798428,-538.83335,43.40394,1861
Amazonia,PGM,PGM_423_9,-47.50365452,-3.451347545,0.25,5.57447026,0.465059248,0.334121903,0.308468208,0.41,0.28,0.28,2,7,51,-0.625599282,-0.406648663,-0.368846154,0.693147181,1.945910149,3.931825633,-0.867500568,-1.237874356,-1.237874356,-532.83335,44.59198,1881
Amazonia,PGM,PGM_44_1,-46.94881248,-2.631415769,0.25,9.59842736,0.342267505,0.443737745,0.614234286,0.33,0.35,0.29,5,13,27,-0.418956973,-0.586515414,-0.952525052,1.609437912,2.564949357,3.295836866,-1.078809661,-1.021651248,-1.203972804,-368.29169,42.31915,2039
Amazonia,PGM,PGM_44_2,-46.98889012,-2.558791379,0.25,16.94648894,0.757062789,0.69000153,0.593857971,0.14,0.08,0.07,1,1,3,-1.41495226,-1.171187917,-0.901052355,0,0,1.098612289,-1.897119985,-2.407945609,-2.525728644,-349.50001,43.71048,2060
